iter	RMSE
0	3.052806702
1	3.011277897
2	2.970505856
3	2.930956179
4	2.893399806
5	2.85904437
6	2.825762863
7	2.794187873
8	2.762426212
9	2.732788236
10	2.703931312
11	2.677896273
12	2.652264491
13	2.626695431
14	2.601688527
15	2.578199705
16	2.554659251
17	2.533150916
18	2.511960242
19	2.491942866
20	2.472761976
21	2.454013329
22	2.434314652
23	2.415796648
24	2.397960775
25	2.380727658
26	2.365333974
27	2.349505798
28	2.33456984
29	2.320100108
30	2.306115119
31	2.29305
32	2.280530968
33	2.268803084
34	2.257115222
35	2.246555195
36	2.235613159
37	2.225484246
38	2.21568996
39	2.206353705
40	2.197371333
41	2.188369585
42	2.179701366
43	2.171346991
44	2.163249834
45	2.155507172
46	2.147904666
47	2.140829107
48	2.133788343
49	2.126956322
50	2.12060131
51	2.113997533
52	2.107906642
53	2.102036466
54	2.096321035
55	2.090797136
56	2.085353061
57	2.080005572
58	2.07482632
59	2.069920358
60	2.064872582
61	2.060153167
62	2.055523052
63	2.051261626
64	2.04692408
65	2.042901405
66	2.038976872
67	2.034653138
68	2.030650649
69	2.026702192
70	2.022763736
71	2.018901707
72	2.015082077
73	2.01145097
74	2.007508981
75	2.003779694
76	2.000359536
77	1.997012591
78	1.993806409
79	1.990474224
80	1.987129261
81	1.984167809
82	1.980839524
83	1.977768246
84	1.974873617
85	1.971931304
86	1.968634984
87	1.965757823
88	1.96283215
89	1.960132054
90	1.957115739
91	1.954234837
92	1.951700186
93	1.949236084
94	1.946523833
95	1.944030403
96	1.941319017
97	1.938926694
98	1.936561881
99	1.933852481
100	1.931625671
101	1.929378066
102	1.927018504
103	1.924750242
104	1.922646948
105	1.920342588
106	1.918171566
107	1.916230967
108	1.914018437
109	1.912070966
110	1.910205533
111	1.908231124
112	1.906336607
113	1.90386409
114	1.901786559
115	1.899894705
116	1.898028052
117	1.896118864
118	1.894300071
119	1.892535212
120	1.890712324
121	1.888899398
122	1.887248667
123	1.885583256
124	1.883825664
125	1.882298585
126	1.880603518
127	1.878907675
128	1.877215566
