iter	Passed	Remaining
0	238	190645
1	476	190174
2	721	191687
3	1019	202934
4	1256	199763
5	1506	199357
6	1768	200322
7	2031	201137
8	2273	199821
9	2508	198208
10	2735	196239
11	2979	195658
12	3257	197189
13	3505	196808
14	3742	195834
15	3971	194603
16	4210	193939
17	4448	193280
18	4678	192322
19	4909	191472
20	5137	190587
21	5368	189847
22	5679	191880
23	5958	192670
24	6185	191742
25	6443	191816
26	6681	191277
27	6917	190723
28	7164	190477
29	7375	189305
30	7614	188887
31	7863	188713
32	8090	188050
33	8352	188186
34	8566	187228
35	8800	186757
36	9013	185882
37	9259	185672
38	9506	185499
39	9774	185713
40	10036	185788
41	10280	185541
42	10505	184940
43	10738	184500
44	10957	183842
45	11214	183816
46	11440	183293
47	11650	182520
48	11868	181902
49	12103	181551
50	12334	181154
51	12543	180434
52	12755	179783
53	12970	179191
54	13197	178769
55	13426	178378
56	13637	177772
57	13932	178242
58	14181	178112
59	14435	178043
60	14620	177120
61	14855	176829
62	15072	176329
63	15317	176147
64	15546	175794
65	15750	175167
66	15982	174850
67	16197	174366
68	16452	174302
69	16695	174105
70	16939	173927
71	17181	173726
72	17435	173635
73	17660	173268
74	17923	173263
75	18147	172881
76	18374	172533
77	18603	172197
78	18839	171944
79	19057	171521
80	19266	171023
81	19506	170798
82	19741	170539
83	19980	170310
84	20221	170099
85	20433	169642
86	20674	169435
87	20891	169027
88	21116	168696
89	21349	168426
90	21582	168156
91	21820	167926
92	22033	167504
93	22242	167057
94	22484	166856
95	22698	166454
96	22922	166127
97	23139	165756
98	23353	165362
99	23572	165005
100	23807	164763
101	24034	164471
102	24255	164139
103	24491	163907
104	24712	163572
105	24936	163263
106	25164	162978
107	25358	162484
108	25585	162200
109	25833	162047
110	26056	161740
111	26273	161391
112	26476	160965
113	26692	160626
114	26935	160439
115	27170	160211
116	27403	159968
117	27611	159586
118	27850	159379
119	28051	158960
120	28289	158750
121	28526	158532
122	28724	158103
123	28953	157845
124	29190	157627
125	29430	157431
126	29670	157228
127	29903	156991
128	30121	156675
129	30334	156338
130	30532	155926
131	30742	155573
132	30968	155308
133	31205	155097
134	31418	154765
135	31630	154430
136	31855	154161
137	32080	153892
138	32287	153539
139	32505	153241
140	32723	152940
141	32936	152621
142	33153	152319
143	33358	151968
144	33577	151677
145	33825	151517
146	34048	151251
147	34274	150994
148	34521	150829
149	34764	150644
150	34981	150351
151	35222	150159
152	35441	149874
153	35664	149607
154	35906	149418
155	36124	149127
156	36332	148800
157	36546	148498
158	36770	148238
159	36974	147898
160	37194	147620
161	37408	147323
162	37624	147036
163	37867	146853
164	38080	146550
165	38311	146324
166	38540	146084
167	38754	145790
168	38973	145516
169	39206	145293
170	39437	145064
171	39659	144801
172	39887	144563
173	40129	144372
174	40339	144068
175	40553	143779
176	40747	143423
177	40964	143146
178	41192	142907
179	41410	142634
180	41612	142309
181	41831	142044
182	42047	141766
183	42259	141476
184	42481	141221
185	42677	140880
186	42907	140653
187	43127	140393
188	43347	140133
189	43559	139847
190	43795	139640
191	44007	139355
192	44231	139113
193	44454	138861
194	44669	138589
195	44892	138342
196	45103	138057
197	45318	137787
198	45538	137531
199	45746	137238
200	45962	136973
201	46171	136686
202	46386	136417
203	46609	136172
204	46818	135888
205	47050	135670
206	47272	135424
207	47491	135168
208	47694	134868
209	47919	134630
210	48128	134349
211	48330	134048
212	48554	133809
213	48766	133537
214	48976	133262
215	49200	133024
216	49419	132771
217	49655	132566
218	49877	132322
219	50090	132056
220	50308	131803
221	50522	131541
222	50736	131277
223	50961	131043
224	51181	130796
225	51401	130550
226	51620	130302
227	51858	130100
228	52078	129856
229	52297	129607
230	52529	129392
231	52768	129191
232	52981	128929
233	53204	128691
234	53424	128447
235	53646	128205
236	53878	127990
237	54098	127745
238	54329	127525
239	54557	127299
240	54791	127089
241	55022	126871
242	55239	126619
243	55462	126381
244	55729	126243
245	55958	126019
246	56183	125787
247	56401	125539
248	56616	125282
249	56821	125006
250	57042	124766
251	57262	124523
252	57469	124251
253	57686	124002
254	57937	123828
255	58163	123598
256	58379	123346
257	58584	123072
258	58795	122811
259	59000	122539
260	59230	122318
261	59456	122089
262	59688	121872
263	59903	121621
264	60118	121372
265	60340	121134
266	60555	120884
267	60763	120620
268	60984	120382
269	61214	120162
270	61432	119917
271	61649	119673
272	61865	119425
273	62072	119160
274	62313	118961
275	62534	118724
276	62742	118462
277	62949	118200
278	63175	117971
279	63392	117729
280	63605	117477
281	63830	117248
282	64045	117002
283	64255	116745
284	64479	116516
285	64704	116287
286	64912	116028
287	65129	115785
288	65339	115531
289	65559	115294
290	65768	115038
291	65986	114798
292	66200	114552
293	66476	114411
294	66730	114234
295	66953	114002
296	67173	113764
297	67396	113532
298	67603	113276
299	67854	113090
300	68075	112856
301	68329	112675
302	68549	112439
303	68772	112207
304	69004	111990
305	69226	111757
306	69467	111554
307	69706	111348
308	69930	111120
309	70152	110885
310	70363	110635
311	70580	110395
312	70797	110154
313	71010	109907
314	71224	109663
315	71436	109415
316	71664	109192
317	71877	108946
318	72098	108713
319	72311	108467
320	72533	108235
321	72755	108002
322	72989	107789
323	73219	107569
324	73437	107331
325	73650	107087
326	73890	106881
327	74118	106658
328	74353	106444
329	74565	106199
330	74788	105969
331	75025	105758
332	75247	105526
333	75457	105279
334	75681	105050
335	75882	104790
336	76098	104551
337	76320	104319
338	76542	104089
339	76764	103857
340	76989	103630
341	77218	103409
342	77434	103170
343	77674	102964
344	77889	102724
345	78106	102487
