,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,description_lengths_cleaned,description_cleaned
78,78,US,some ros s are made simply by bleeding the juice from the fermenter  to concentrate the remaining wine  whether or not that is the case here  the wine has the simple pleasant lightly candied strawberry flavors one might expect from such a technique  it s fruity and undemanding  drink up ,Rosé of,86,25,Oregon,Eola-Amity Hills,Willamette Valley,Paul Gregutt,@paulgwine ,Z'IVO 2015 Rosé of Pinot Noir (Eola-Amity Hills),Pinot Noir,Z'IVO,25,ro made simpli bleed juic ferment concentr remain wine whether case wine simpl pleasant lightli candi strawberri flavor one might expect techniqu fruiti undemand drink
233,233,US,there is an odd  piercing edge to the aromas  a mix of acetic acid and pungent herb  with a hint of diesel  somehow it s not off putting  just atypical  the light  tart fruit is a mix of rhubarb and cranberry  very earthy and tasting of dirt and bark in the finish  this could be quite pleasant with a hearty  rustic dish such as beef bourgogne ,Reserve,85,28,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Silvan Ridge 2006 Reserve Pinot Noir (Willamette Valley),Pinot Noir,Silvan Ridge,33,odd pierc edg aroma mix acet acid pungent herb hint diesel somehow put atyp light tart fruit mix rhubarb cranberri earthi tast dirt bark finish could quit pleasant hearti rustic dish beef bourgogn
278,278,US,fruity  forward and quite refreshing  this has appealing black cherry fruit with a light candy flavor  the balancing tannins add sufficient depth and weight to allow this a few more years in the cellar ,Bishop Creek,89,50,Oregon,Willamette Valley,UNKNOWN,Paul Gregutt,@paulgwine ,Erath 2009 Bishop Creek Pinot Noir,Pinot Noir,Erath,20,fruiti forward quit refresh appeal black cherri fruit light candi flavor balanc tannin add suffici depth weight allow year cellar
336,336,Chile,gritty  heavily roasted aromas of peanuts and herbal berry fruits lead to a scratchy  tannic palate  this tastes of burnt oak  raw plum and currant  while the finish tastes briny and harsh  the      version of this wine was much better  this is rough from front to back ,Costa,83,35,Colchagua Costa,UNKNOWN,UNKNOWN,Michael Schachner,@wineschach,Koyle 2015 Costa Pinot Noir (Colchagua Costa),Pinot Noir,Koyle,29,gritti heavili roast aroma peanut herbal berri fruit lead scratchi tannic palat tast burnt oak raw plum currant finish tast brini harsh version wine much better rough front back
343,343,Chile,jumpy on the nose at first  but then green tea and grassy aromas take over  this pn is what it is  it tastes grassy  leafy and like green beans  vegetal notes carry over to the finish ,Grand Reserve,81,20,Rapel Valley,UNKNOWN,UNKNOWN,Michael Schachner,@wineschach,Pura 8 2010 Grand Reserve Pinot Noir (Rapel Valley),Pinot Noir,Pura 8,19,jumpi nose first green tea grassi aroma take pn tast grassi leafi like green bean veget note carri finish
364,364,US,for       the weber is the star of a very fine winderlea lineup  dark and deeply concentrated  it s jammed with black cherry fruit  annotated with anise and showing a hint of gunmetal  the tannins are ripe and taste of clean earth  this is a fine candidate for aging  drink now through      ,Weber Vineyard,95,"RuntimeWarning: numpy.ufunc size changed, may indicate binary incompatibility. Expected 192 from C header, got 216 from PyObject",Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,@paulgwine ,Winderlea 2014 Weber Vineyard Pinot Noir (Dundee Hills),Pinot Noir,Winderlea,26,weber star fine winderlea lineup dark deepli concentr jam black cherri fruit annot anis show hint gunmet tannin ripe tast clean earth fine candid age drink
583,583,US,this incredibly zesty and fruity bottling shows raspberry  lavender and white pepper on the nose  it s fun to sip  with snappy red fruits and hibiscus most prominent  complexity comes from touches of rooibos tea and potpourri  it s still extremely youthful ,Unfiltered Estate,89,32,California,Santa Cruz Mountains,Central Coast,Matt Kettmann,@mattkettmann,Silvertip 2014 Unfiltered Estate Pinot Noir (Santa Cruz Mountains),Pinot Noir,Silvertip,26,incred zesti fruiti bottl show raspberri lavend white pepper nose fun sip snappi red fruit hibiscu promin complex come touch rooibo tea potpourri still extrem youth
741,741,France,this light and fruity wine offers soft tannins and an earthy character  the wine comes mainly from beaujolais with     of pinot noir from the m con region  drink now ,UNKNOWN,85,10,Burgundy,Coteaux Bourguignons,UNKNOWN,Roger Voss,@vossroger,Patriarche Père et Fils 2014  Coteaux Bourguignons,Pinot Noir-Gamay,Patriarche Père et Fils,17,light fruiti wine offer soft tannin earthi charact wine come mainli beaujolai pinot noir con region drink
778,778,US,the winderlea is perhaps the most unique in terms of style and flavor among all the      adelsheim single vineyard pinots  its distinctive minerality accompanies tart cranberry and cherry notes  citrusy acidity with a splash of grapefruit flavor  and a finish that tastes of coffee and tea  complex and long  this is a wine that will surely spark some heated discussion ,Winderlea Vineyard,92,105,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,@paulgwine ,Adelsheim 2010 Winderlea Vineyard Pinot Noir (Dundee Hills),Pinot Noir,Adelsheim,34,winderlea perhap uniqu term style flavor among adelsheim singl vineyard pinot distinct miner accompani tart cranberri cherri note citrusi acid splash grapefruit flavor finish tast coffe tea complex long wine sure spark heat discuss
1233,1233,US,with a fruity exuberance of crisp cranberry and red cherry  this wine delights in touches of nuanced herb and earth  light bodied and refreshing  it maintains elegant complexity and depth  a lovely example of site and winemaking ,Sexton Hill Vineyard Estate Grown Estate Bottled,92,42,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Balletto 2015 Sexton Hill Vineyard Estate Grown Estate Bottled Pinot Noir (Russian River Valley),Pinot Noir,Balletto,23,fruiti exuber crisp cranberri red cherri wine delight touch nuanc herb earth light bodi refresh maintain eleg complex depth love exampl site winemak
1451,1451,France,this wine manages to combine firm structure with the finely perfumed fruit associated with chambolle musigny  it s rich  fruity  lifted by acidity and held together by solid tannins  impressive and full bodied  it s a wine to age  drink from      ,Les Sentiers Premier Cru,94,135,Burgundy,Chambolle-Musigny,UNKNOWN,Roger Voss,@vossroger,David Duband 2014 Les Sentiers Premier Cru  (Chambolle-Musigny),Pinot Noir,David Duband,25,wine manag combin firm structur fine perfum fruit associ chambol musigni rich fruiti lift acid held togeth solid tannin impress full bodi wine age drink
1463,1463,France,this wine comes from a vineyard owned by the gagey situated in the northern part of nuits saint georges  close to vosne roman e  it has firm structure and a perfumed character that is already enticing  richly fruity with juicy acidity  it will be impressive as it ages  drink from      ,Les Boudots Premier Cru,93,132,Burgundy,Nuits-St.-Georges,UNKNOWN,Roger Voss,@vossroger,Louis Jadot 2014 Les Boudots Premier Cru  (Nuits-St.-Georges),Pinot Noir,Louis Jadot,28,wine come vineyard own gagey situat northern part nuit saint georg close vosn roman e firm structur perfum charact alreadi entic richli fruiti juici acid impress age drink
1523,1523,US,a huge step up from the previous vintage  this ripe  round and wonderfully fruity effort is a juicy  mineral soaked bottle of joy  luscious cherry fruit is topped with a dollop of butterscotch ,Reserve,92,48,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Rex Hill 2010 Reserve Pinot Noir (Willamette Valley),Pinot Noir,Rex Hill,20,huge step previou vintag ripe round wonder fruiti effort juici miner soak bottl joy lusciou cherri fruit top dollop butterscotch
1811,1811,US,savory aromas and flavors combine with a soft texture in this full bodied wine  it smells smoky and roasted  tastes like pomegranate and cherry juice and has a streak of acidity but not much tannin ,Reserve,85,14,California,California,California Other,Jim Gordon,@gordone_cellars,Red Rock 2013 Reserve Pinot Noir (California),Pinot Noir,Red Rock,21,savori aroma flavor combin soft textur full bodi wine smell smoki roast tast like pomegran cherri juic streak acid much tannin
1817,1817,US,this is an earthy  rustic wine tasting of black cherry  cola and a mention of sage  medium bodied on the palate and softly textured  it will please a range of palates  showing varietal character with vigor ,UNKNOWN,85,25,California,Sonoma County,Sonoma,Virginie Boone,@vboone,Decoy 2013 Pinot Noir (Sonoma County),Pinot Noir,Decoy,21,earthi rustic wine tast black cherri cola mention sage medium bodi palat softli textur pleas rang palat show variet charact vigor
2163,2163,US,high toned aromatics complement aggressive  unintegrated flavors of raw wood  it s lumber  not toast  that you taste  along with bitter tannins and little evidence of ripe fruit ,Premier Cuvée,84,85,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Wetzel Estate 2012 Premier Cuvée Pinot Noir (Willamette Valley),Pinot Noir,Wetzel Estate,19,high tone aromat complement aggress unintegr flavor raw wood lumber toast tast along bitter tannin littl evid ripe fruit
2242,2242,US,while the texture of this pinot is silky and light  it s dramatic in flavor  the cherries  plums  pomegranates and persimmons are packed together into a dense core of taste  all spiced up with cinnamon  cloves and anise  feels dramatic and complex  but young and fresh in acids and tannins  give it     years ,Diopside,94,40,California,Sta. Rita Hills,Central Coast,UNKNOWN,UNKNOWN,Coghlan 2009 Diopside Pinot Noir (Sta. Rita Hills),Pinot Noir,Coghlan,28,textur pinot silki light dramat flavor cherri plum pomegran persimmon pack togeth dens core tast spice cinnamon clove anis feel dramat complex young fresh acid tannin give year
2279,2279,France,light in color  this is a fruity  softly tannic and lightweight wine  it brings out red fruits that are now maturing  giving spice and a touch of pepper with final acidity  drink now ,Signature,85,17,Alsace,Alsace,UNKNOWN,Roger Voss,@vossroger,Domaine Robert Klingenfus 2010 Signature Pinot Noir (Alsace),Pinot Noir,Domaine Robert Klingenfus,18,light color fruiti softli tannic lightweight wine bring red fruit matur give spice touch pepper final acid drink
2347,2347,US,made by an oregon winery from carneros region grapes  this wine tastes mellow and mature  it has a relatively light color with an auburn rim  aromas that are savory and meaty  flavors like rhubarb and beef  a fairly crisp balance and smooth texture ,UNKNOWN,85,29,California,California,California Other,Jim Gordon,@gordone_cellars,Ardiri Winery and Vineyards 2012 Pinot Noir (California),Pinot Noir,Ardiri Winery and Vineyards,27,made oregon wineri carnero region grape wine tast mellow matur rel light color auburn rim aroma savori meati flavor like rhubarb beef fairli crisp balanc smooth textur
2433,2439,US,soft and sexy  this small production pinot is made from swan clone grapes exclusively  which provides an intriguing spiciness to the wine  amid the spice is a brambly taste of blackberry and blueberry  layered and juicy on the palate  the tannins well ingrained through the finish ,Clonal Series Swan,90,55,California,Carneros,Napa-Sonoma,Virginie Boone,@vboone,Domaine Carneros 2012 Clonal Series Swan Pinot Noir (Carneros),Pinot Noir,Domaine Carneros,27,soft sexi small product pinot made swan clone grape exclus provid intrigu spici wine amid spice brambl tast blackberri blueberri layer juici palat tannin well ingrain finish
2467,2473,US,aromatic and elegant  generous and supple  this tastes rich while feeling polished and complete  an enticing  light aroma of oaky spice and raspberry mixes with tasty red cherry and black currant flavors on the palate  it is medium bodied  smooth in texture  and has a mild finish ,UNKNOWN,90,11,California,California,California Other,Jim Gordon,@gordone_cellars,Line 39 2013 Pinot Noir (California),Pinot Noir,Line 39,29,aromat eleg gener suppl tast rich feel polish complet entic light aroma oaki spice raspberri mix tasti red cherri black currant flavor palat medium bodi smooth textur mild finish
2486,2492,France,this wine is fresh  perfumed with a juicy red fruit character  it offers red cherries  with a soft texture and acidity  the great fruitiness leads to a bright  crisp aftertaste ,UNKNOWN,88,30,Burgundy,Chorey-lès-Beaune,UNKNOWN,Roger Voss,@vossroger,Joseph Drouhin 2012  Chorey-lès-Beaune,Pinot Noir,Joseph Drouhin,19,wine fresh perfum juici red fruit charact offer red cherri soft textur acid great fruiti lead bright crisp aftertast
2690,2697,US,simple  delicate and fruity  a jammy style with sweetly ripe flavors of wild raspberries and strawberries  as well as espresso  tobacco and oriental spices  it s light and silky on the palate ,UNKNOWN,87,14,California,Russian River Valley,Sonoma,UNKNOWN,UNKNOWN,River Road 2001 Pinot Noir (Russian River Valley),Pinot Noir,River Road,19,simpl delic fruiti jammi style sweetli ripe flavor wild raspberri strawberri well espresso tobacco orient spice light silki palat
2734,2741,Chile,chunky aromas of tomato  saucy berry fruits  asphalt and tire rubber are somewhat harsh  flat and lazy in feel  this chunky  full bodied number from b o b o tastes of baked cherry and plum fruit  a finish with low acidity and not much kick is the ending ,Tectonia,86,23,Bío Bío Valley,UNKNOWN,UNKNOWN,Michael Schachner,@wineschach,Bodega Volcanes de Chile 2013 Tectonia Pinot Noir (Bío Bío Valley),Pinot Noir,Bodega Volcanes de Chile,31,chunki aroma tomato sauci berri fruit asphalt tire rubber somewhat harsh flat lazi feel chunki full bodi number b b tast bake cherri plum fruit finish low acid much kick end
2782,2789,France,soft and fruity with some sweetness  this red fruit flavored wine is rounded and warm  crispened by acidity ,Bistro,84,8,France Other,Ile de Beauté,UNKNOWN,Roger Voss,@vossroger,Barton & Guestier 2011 Bistro Pinot Noir (Ile de Beauté),Pinot Noir,Barton & Guestier,11,soft fruiti sweet red fruit flavor wine round warm crispen acid
2888,2895,France,in this case  vieilles vignes  old vines  only means vines over    years  the wine is soft  rounded and full of red cherry fruitiness  judicious wood aging has rounded the wine out while leaving all its fruit intact  it can be drunk now  but will be better from      ,Vieilles Vignes,86,30,Burgundy,Bourgogne Hautes Côtes de Nuits,UNKNOWN,Roger Voss,@vossroger,Manuel Olivier 2012 Vieilles Vignes  (Bourgogne Hautes Côtes de Nuits),Pinot Noir,Manuel Olivier,25,case vieill vign old vine mean vine year wine soft round full red cherri fruiti judici wood age round wine leav fruit intact drunk better
2899,2906,US,vibrantly fruity  it offers aromas of currant  raspberry  celery stalk and spice  the palate has tart cranberry flavors  finishing a bit short ,Maple Ranch Estate,86,35,Oregon,Rogue Valley,Southern Oregon,Sean P. Sullivan,@wawinereport,Foris 2012 Maple Ranch Estate Pinot Noir (Rogue Valley),Pinot Noir,Foris,16,vibrantli fruiti offer aroma currant raspberri celeri stalk spice palat tart cranberri flavor finish bit short
2903,2910,France,from the recent appellation at the southern end of the c te de beaune  this is a light and very fruity wine with little discernible tannin or structure  red cherries and fresh acidity dominate and the wine should be drunk young ,Clos des Rois Premier Cru,86,43,Burgundy,Maranges,UNKNOWN,Roger Voss,@vossroger,Jean-Luc and Paul Aegerter 2012 Clos des Rois Premier Cru  (Maranges),Pinot Noir,Jean-Luc and Paul Aegerter,23,recent appel southern end c te de beaun light fruiti wine littl discern tannin structur red cherri fresh acid domin wine drunk young
3182,3190,US,full bodied and definitely fruity without being sweet  this wine from fulcrum comes straight at the taste buds with opulent black cherry and tart raspberry flavors on a vivid texture  having spent    months in french oak before bottling  it tastes a bit dense and muted at this point  and should be best after      ,Christina's Cuvée,90,38,California,North Coast,North Coast,Jim Gordon,@gordone_cellars,On Point 2014 Christina's Cuvée Pinot Noir (North Coast),Pinot Noir,On Point,31,full bodi definit fruiti without sweet wine fulcrum come straight tast bud opul black cherri tart raspberri flavor vivid textur spent month french oak bottl tast bit dens mute point best
3327,3335,France,the wine is tight  green and herbal  it has some fruitiness  but that is suppressed by general underripeness  the tannins are hard at the end ,UNKNOWN,84,28,Burgundy,Chorey-lès-Beaune,UNKNOWN,Roger Voss,@vossroger,Joseph Drouhin 2011  Chorey-lès-Beaune,Pinot Noir,Joseph Drouhin,11,wine tight green herbal fruiti suppress gener underrip tannin hard end
3386,3394,US,meant to provide value  this wine also offers big oak  smoke and a bittersweet taste of black tea tannins  shy in fruit  this has a slightly reduced effect on the finish ,High Roller,84,20,California,Sonoma Coast,Sonoma,Virginie Boone,@vboone,JAQK Cellars 2013 High Roller Pinot Noir (Sonoma Coast),Pinot Noir,JAQK Cellars,20,meant provid valu wine also offer big oak smoke bittersweet tast black tea tannin shi fruit slightli reduc effect finish
